id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1528,305248,291929,5272,201102,257843,561604,512730,32760,362187,277772,94008,214340,110878,33605,178261,46458,39578,181054,179059,521204,17703,170316
1529,38391,198453,195448,38388,150968,306117,424129,38253,465960,21726,27696,128083,280251,202471,210138,118879,447455,364290,104411,658657,213487,442735
1530,91929,465750,280083,149219,166675,533228,38969,240478,32863,25957,37112,37937,149150,25791,213873,114216,38290,181066,67898,185152,523363,277821
1531,41818,181140,183585,140932,157490,67896,173957,300977,21753,77813,311008,305248,291929,5272,201102,257843,561604,213799,512730,94008,277772,362187
1532,37900,289883,563215,46232,346111,298665,38262,26916,299358,46335,26613,206592,94284,156693,181312,317937,95614,38257,40520,305214,478447,70959
1533,214340,110878,33605,178261,46458,39578,181054,179059,521204,17703,170316,107806,95615,30918,149334,173462,418105,201811,38365,265123,38440,166302
1534,11336,280134,179783,419238,36849,26078,239599,409000,38777,148829,318615,181069,91503,196203,67958,346142,173449,40521,208929,289248,289251,577045
1535,346114,179241,538333,306731,27412,209782,212863,38323,212598,168232,42706,104384,277771,305132,209922,465730,114688,203666,26440,315459,38782,201915
1536,242243,130738,164323,210392,466480,613260,215415,207603,274456,658786,365245,279874,277848,33620,171338,119117,242719,111787,659463,166917,303334,202562
1537,104384,277771,209922,305132,178293,114688,26440,203666,201915,38782,315459,91929,354175,280083,149219,166675,533228,240478,38969,671331,464486,282470
1538,279874,119117,171338,277848,33620,38378,242719,166917,111787,466203,202562,38391,38253,195448,38388,154867,424129,39631,306117,465960,198453,27696
1539,181069,91503,196203,67958,346142,208929,40521,25751,577045,289251,282671,214340,110878,33605,178261,46458,39578,181054,179059,521204,17703,277444
1540,107806,95615,30918,298941,149334,265123,418105,38365,206182,201811,166302,11336,280134,179783,419238,36849,38777,26078,409000,318615,105680,197848
1541,128083,202471,280251,210138,118879,39625,104411,447455,442735,213487,658657,37900,289883,46232,563215,346111,298665,38262,26916,299358,46335,26613
1542,37937,114216,25791,213873,149150,185152,67898,38290,277821,181066,210844,242243,130738,210392,164323,466480,207603,274456,658786,365245,215415,466589
1543,206592,94284,156693,157375,181312,95614,37065,38257,478447,70959,305214,41818,181140,183585,140932,157490,67896,173957,300977,21753,77813,311008
1544,305248,291929,5272,201102,257843,561604,213799,32760,94008,362187,277772,346114,179241,538333,306731,95904,212598,209782,130027,68120,42706,346651
1545,104384,277771,445873,305132,41005,26440,109061,315459,113868,207511,38782,37900,563215,298665,630950,303179,26771,26916,465726,38262,26613,46335
1546,279874,119117,171338,277848,33620,111787,118730,482397,38378,242719,644002,206592,94284,157375,156693,181312,37065,95614,38257,478447,192326,70959
1547,181069,346142,196203,91503,67958,577045,40521,208929,173449,289248,289251,346114,179241,538333,306731,95904,212863,209782,189977,68120,212598,346651
1548,41818,173957,140932,38956,183585,178283,241501,300977,311008,240044,21753,107806,201811,298941,30918,149334,265123,208985,418105,131531,38440,206182
1549,128083,280251,202471,210138,39625,387723,293003,364826,447455,277335,213487,41301,266105,33605,178261,46458,181054,170316,179059,277444,17703,79247
1550,37937,114216,25791,213873,149150,185152,650847,491072,432217,277821,210844,38391,38253,195448,38388,309083,424129,39631,306117,282012,46552,27696
1551,11336,280134,419238,,36849,364813,239599,26078,318615,641168,38777,91929,354175,280083,149219,166675,38969,240478,533228,464486,282470,671331
1552,305248,291929,5272,201102,257843,561604,169204,512730,32760,94008,277772,242243,365244,164323,210392,466480,561611,215415,274456,130738,365245,207603
1553,38391,178758,38253,195448,154867,424129,282012,46552,39631,306117,179402,11336,280134,179783,,36849,26078,318615,105680,38777,280968,15938
1554,91929,354175,280083,149219,166675,533228,282470,38969,671331,25957,240478,181069,346142,91503,196203,67958,173449,40521,208929,25751,282671,577045
1555,41818,21753,38956,183585,140932,241501,178283,173957,300977,240044,311008,104384,277771,445873,305132,41005,109061,114688,201915,203666,207511,500585
1556,37900,154276,289883,563215,303179,298665,26613,26916,39145,46335,299358,279874,119117,171338,277848,244904,242719,424391,111787,202562,167057,38378
1557,206592,94284,157375,156693,181312,37065,95614,209855,166670,478447,70959,305248,291929,5272,201102,257843,169204,32760,561604,213799,94008,277772
1558,214340,426174,33605,277444,179059,110878,17703,39578,181054,46458,521204,37937,149150,25791,38290,67898,277821,213873,114216,185152,181066,210844
1559,346114,179241,306731,209782,27412,130027,201804,42706,68120,212598,346651,107806,95615,30918,298941,173462,201811,38365,265123,131531,206182,166302
1560,242243,561611,164323,466480,274456,215415,210392,658786,365245,207603,38382,128083,202471,280251,210138,447455,104411,118879,387723,442735,658657,213487
1561,104384,277771,209922,305132,465730,114688,26440,113868,315459,201915,38782,214340,430995,33605,178261,46458,179059,93347,466501,170316,277444,79247
1562,181069,49451,196203,71898,346142,173449,40521,67958,577045,282671,467486,37900,289883,46232,346111,303179,563215,26613,26916,299358,46335,38262
1563,195782,354175,280083,149219,166675,32863,533228,282470,240478,671331,25957,38391,38253,195448,38388,154867,198453,39631,465960,282012,46552,27696
1564,107806,95615,30918,149334,298941,38365,201811,265123,418105,206182,166302,242243,130738,210392,164323,466480,179365,274456,207603,215415,365245,38382
1565,128083,280251,202471,210138,118879,387723,447455,104411,293003,442735,213487,41818,181140,38956,183585,140932,157490,21753,173957,300977,240044,311008
1566,37937,432217,25791,213873,149150,185152,67898,38290,491072,277821,210844,206592,478112,157375,156693,94284,37065,95614,209855,166670,478447,70959
1567,11336,280134,419238,,36849,105680,26078,38777,280968,318615,15938,346114,179241,27412,306731,201804,209782,130027,42706,212598,68120,346651
1568,305248,201102,257843,291929,94008,512730,5272,32760,277772,213799,239528,279874,174054,203755,277848,33620,166917,67890,202562,111787,466203,659463
1569,38391,198453,195448,38388,154867,38253,465960,39631,282012,27696,46552,107806,95615,149334,30918,298941,38365,418105,206182,131531,265123,166302
1570,279874,174054,171338,203755,33620,242719,111787,166917,38378,167057,202562,104384,277771,209922,305132,465730,109061,203666,114688,201915,38782,14557
1571,41818,181140,38956,183585,140932,157490,21753,173957,178283,240044,77813,37937,460004,25791,213873,149150,185152,38290,67898,277821,523363,210844
1572,37900,289883,46232,346111,303179,465726,38262,630950,26613,299358,46335,305248,291929,5272,201102,257843,32760,213799,239528,512730,94008,277772
1573,206592,478112,157375,317937,181312,95614,166670,478447,37065,209855,305214,128083,280251,202471,557042,118879,293003,447455,104411,39625,213487,387723
1574,214340,266105,33605,178261,46458,93347,179059,521204,181054,277444,17703,11336,280134,179783,,36849,26078,105680,38777,280968,318615,197848
1575,346114,179241,27412,306731,166664,209782,130027,38323,42706,346651,201804,195782,354175,280083,149219,166675,282470,240478,533228,671331,25957,32863
1576,242243,179365,561611,466480,38382,215415,130738,210392,365245,207603,164323,181069,289251,173449,196203,40521,577045,208929,67958,91503,346142,25751
1577,181069,49451,91503,67958,346142,25751,40521,173449,208929,282671,467486,91929,465750,195448,149219,166675,32863,533228,38969,26590,173730,25957
1578,104384,543969,209922,305132,178293,109061,203666,26440,465728,581798,465730,41818,181140,183585,38956,140932,157490,300977,173957,67896,77813,240044
1579,208718,291929,5272,201102,257843,561604,32760,213799,94008,466203,277772,206592,478112,156693,157375,181312,95614,192326,38257,581141,70959,478447
1580,107806,95615,298941,30918,173462,38365,201811,265123,208985,206182,166302,346114,538333,27412,95904,179241,212598,130027,38323,68120,42706,107983
1581,487334,359378,202471,210138,36849,447455,611714,364290,293003,277335,466623,242243,210392,164323,466480,130738,207603,613260,215415,466589,641042,512726
1582,37937,114216,25791,213873,149150,181066,287341,38290,491072,523363,277821,214340,110878,280083,33605,46458,521204,39578,240478,93347,181054,578032
1583,159883,174054,34183,203755,33620,482397,118730,242719,512033,167057,202562,37900,289883,563215,46232,303179,298665,26613,26916,38262,299358,46335
1584,11336,419238,131404,179783,364813,26078,280968,38777,105680,15938,197848,38391,38368,424129,38388,150968,39631,465960,46552,38253,282012,179402
1585,104384,277771,294254,305132,178293,109061,113868,26440,38782,201915,207511,38391,38253,424128,38388,309083,424129,282012,39631,306117,46552,27696
1586,181069,91503,196203,67958,346142,173449,40521,208929,25751,282671,467486,206592,94284,157375,156693,317937,181312,478447,95614,38257,37065,70959
1587,195782,354175,280083,149219,166675,38969,282470,533228,32863,671331,240478,38341,130738,210392,164323,466480,561611,179365,215415,274456,38382,365245
1588,107806,95615,30918,298941,173462,265123,201811,38365,206182,131531,166302,279874,119117,171338,203755,244904,111787,166917,242719,174054,202562,167057
1589,128083,280251,202471,210138,364826,293003,277335,447455,387723,213487,442735,305248,291929,200718,201102,257843,512730,239528,213799,362187,277772,94008
1590,37937,114216,25791,213873,149150,185152,38290,67898,277821,523363,210844,37900,289883,46232,563215,346111,26916,26613,38262,299358,46335,465726
1591,11336,280134,,179783,36849,239599,105680,280968,364813,197848,318615,41818,38956,183585,181029,186184,181140,21753,178283,311008,173957,240044
1592,346114,179241,27412,306731,201804,209782,130027,42706,166664,38323,346651,214340,266105,33605,178261,46458,93347,179059,521204,181054,277444,17703
1593,38391,38253,195448,38388,309083,688876,39631,424129,282012,27696,46552,346114,95904,179241,27412,306731,166664,209782,130027,42706,104410,346651
1594,279874,119117,171338,203755,33620,659463,424391,118730,111787,202562,167057,128083,574845,557042,210138,39625,447455,364826,293003,387723,213487,658657
1595,41818,181140,183585,38956,140932,241501,186184,173957,67896,21753,311008,181069,91503,196203,67958,346142,173449,40521,208929,282671,25751,467486
1596,37900,289883,46232,563215,346111,26916,38262,630950,431589,46335,465726,107806,149334,30918,298941,173462,418105,131531,38365,265123,166302,206182
1597,206592,156693,94284,317937,181312,37065,95614,166670,478447,209855,70959,104384,41005,277771,294254,305132,114688,26440,207511,14557,203666,38782
1598,41301,266105,178261,33605,426174,93347,179059,277444,17703,181054,79247,195782,354175,280083,149219,166675,38969,240478,533228,671331,282470,32863
1599,305248,291929,201102,200718,257843,362187,239528,213799,94008,277772,512730,37937,114216,25791,213873,149150,38290,650847,185152,210844,277821,212285
1600,38341,130738,164323,210392,365244,215415,179365,561611,207603,38382,274456,11336,280134,,179783,36849,26078,105680,280968,318615,364813,38777
1601,34003,277771,294254,445873,543969,109061,203666,310199,201915,38782,14557,128083,574845,202471,210138,39625,409000,447455,293003,387723,658657,213487
1602,181069,91503,196203,67958,49451,173449,40521,25751,208929,282671,467486,38391,198453,195448,38388,309083,424128,282012,465960,,27696,46552
1603,195782,354175,280083,149219,166675,282470,533228,459658,671331,240478,32863,37900,31241,46232,563215,303179,431589,26916,38262,425988,26613,46335
1604,107806,95615,30918,298941,173462,418105,38365,265123,131531,206182,38440,208718,291929,5272,201102,257843,277325,213799,354494,512730,94008,277772
1605,37937,149150,25791,38293,213873,38290,185152,277821,650847,210844,212285,279874,119117,203755,140932,424391,242719,166917,535938,659463,167057,365245
1606,41301,266105,178261,33605,46458,521204,181054,93347,170316,79247,17703,242243,179365,561611,466480,364779,274456,215415,130738,365244,38382,164323
1607,11336,280134,164229,,36849,38777,105680,280968,26078,318615,15938,206592,317937,156693,94284,181312,209855,38257,37065,95614,478447,305214
1608,346114,179241,27412,201804,306731,209782,104410,130027,166664,42706,346651,41818,181140,183585,401004,302911,206793,186184,173957,67896,21753,311008
1609,38391,198453,195448,38388,309083,688876,39631,465960,282012,27696,179402,41301,266105,33605,178261,46458,521204,93347,181054,170316,17703,79247
1610,279874,119117,203755,140932,424391,111787,166917,242719,118730,365245,466203,181069,91503,196203,67958,346142,25751,40521,46755,208929,282671,467486
1611,41818,181140,183585,302911,241501,186184,173957,67896,401004,311008,21753,195782,354175,149219,280083,80678,459658,282470,533228,32863,110948,240478
1612,37900,31241,46232,563215,346111,299358,26916,38262,425988,26613,46335,11336,280134,164229,179783,36849,38777,105680,280968,26078,318615,15938
1613,128083,280251,202471,210138,39625,447455,104411,364290,387723,213487,277335,37937,114216,213873,38293,149150,185152,38290,210844,650847,491072,212285
1614,206592,478112,179513,181312,156693,95614,294252,38257,478447,70959,371538,38327,95615,30918,298941,173462,418105,131531,38365,265123,38440,166302
1615,208718,291929,201102,5272,257843,277325,213799,354494,362187,277772,94008,34003,277771,294254,445873,543969,310199,109061,203666,315459,38782,207511
1616,242243,164323,210392,473859,466480,179365,571681,215415,658786,274456,38382,346114,179241,27412,201804,306731,104410,209782,130027,166664,42706,346651
1617,34003,41005,445873,305132,178293,114688,203666,26440,14557,201915,315459,37937,114216,432217,213873,149150,38290,185152,650847,491072,212285,155052
1618,181069,91503,196203,49451,346142,46755,208929,25751,40521,282671,467486,208718,291929,201102,257843,200718,5272,277325,94008,362187,354494,213799
1619,195782,354175,280083,149219,80678,533228,671331,282470,240478,32863,110948,206592,478112,38257,156693,181312,294252,192326,179513,478447,70959,37065
1620,107806,95615,30918,298941,173462,418105,38365,265123,131531,206182,166302,128083,280251,202471,210138,359378,447455,104411,364290,183364,601304,277335
1621,41301,266105,33605,178261,46458,93347,170316,181054,58485,17703,79247,41818,67941,513810,302911,241501,67896,173957,178283,240044,21753,311008
1622,11336,280134,179783,,36849,26078,239599,38777,280968,318615,15938,32657,119117,203755,140932,424391,118730,242719,111787,167057,365245,535938
1623,346114,179241,306731,27412,201804,209782,130027,42706,104410,166664,346651,36872,563215,46232,31241,303179,38262,630950,26916,299358,46335,39145
1624,242243,130738,164323,210392,473859,179365,658786,274456,181842,676625,289248,38391,181425,195448,38388,309083,688876,39631,282012,465960,178538,27696
1625,34003,277771,305132,294254,178293,14557,109061,26440,207511,203666,201915,181069,91503,196203,49451,208929,40521,173449,67958,467486,25751,282671
1626,32657,119117,203755,140932,424391,13191,242719,535938,111787,167057,365245,242243,179365,210392,36522,274456,130738,465746,473859,676625,27157,289248
1627,41818,181140,513810,249237,302911,241501,67896,178283,173957,21753,311008,38391,198453,195448,118434,178758,306990,178538,39631,282012,179402,309083
1628,36872,563215,303179,46232,31241,26916,39145,279477,630950,46335,38262,41301,178261,46458,33605,277444,266105,93347,181054,58485,79247,17703
1629,128083,202471,210138,359378,439368,447455,104411,364290,442735,148329,277335,195782,80678,354175,280083,149219,72259,533228,240478,32863,110948,671331
1630,37937,38290,212285,277821,149150,213873,114216,432217,523363,38293,210844,107806,173462,38365,206182,30918,201811,38440,418105,95615,298941,265123
1631,206592,94284,156693,478112,181312,95614,294252,37065,192326,209855,371538,346114,179241,306731,27412,201804,42706,209782,130027,166664,104410,346651
1632,208718,291929,200718,201102,257843,277325,5272,354494,94008,277772,449276,11336,280134,164229,,36849,38777,26078,280968,105680,318615,15938
1633,38391,198453,424128,38388,118434,306990,178538,39631,282012,179402,309083,36872,31241,46232,563215,303179,630950,279477,26916,299358,46335,26613
1634,181069,67958,196203,91503,346142,46755,40521,131530,208929,282671,467486,128083,280251,202471,359378,439368,39625,364290,387723,104411,364826,442735
1635,195782,354175,280083,149219,80678,32863,282470,533228,671331,240478,110948,208718,512730,201102,200718,257843,362187,213799,277325,354494,277772,94008
1636,38327,95615,30918,298941,173462,201811,38365,265123,418105,206182,38440,34003,277771,294254,305132,178293,114688,26440,14557,207511,203666,201915
1637,41301,266105,33605,178261,46458,93347,181054,521204,466501,277444,79247,206592,94284,38257,478112,181312,95614,294252,478447,192326,37065,70959
1638,11336,280134,164229,,36849,239599,105680,38777,280968,318615,120110,37937,114216,213873,38293,149150,185152,38290,432217,491072,210844,212285
1639,346114,179241,306731,27412,201804,212863,42706,209782,130027,104410,346651,279874,119117,203755,140932,424391,13191,242719,659463,111787,167057,644002
1640,242243,473859,210392,465746,130738,676625,181842,179365,36522,289248,27157,41818,249237,302911,181140,38956,67896,178283,21753,311008,173957,241501
1641,34003,277771,157375,305132,178293,114688,203666,294254,14557,201915,207511,346114,179241,306731,27412,201804,130027,104410,209782,560413,212863,346651
1642,279874,462085,203755,140932,424391,111787,242719,535938,118730,365245,167057,41301,266105,33605,178261,46458,521204,93347,58485,277444,79247,17703
1643,38327,95615,346111,298941,173462,201811,418105,38365,265123,208985,206182,181069,346142,196203,91503,67958,215415,40521,577045,208929,38383,282671
1644,37900,31241,289883,46232,303179,630950,38262,425988,299358,46335,26613,41818,181140,38956,249237,302911,178283,173957,67896,21753,311008,241501
1645,128083,522673,439368,210138,39625,364826,104411,442735,364290,183364,148329,11336,280134,179783,,36849,38777,26078,280968,105680,318615,120110
1646,37937,72545,213873,38293,149150,185152,38290,210844,203940,277821,212285,195782,354175,280083,149219,80678,32863,533228,240478,282470,671331,110948
1647,206592,317937,38257,181312,478447,192326,95614,294252,209855,70959,179513,242243,473859,164323,36522,466480,658786,274456,465746,181842,179365,27157
1648,208718,291929,201102,5272,257843,213799,277325,32760,354494,277772,94008,38391,198453,38388,195448,118434,306990,282012,178538,465960,309083,179402
1649,38391,198453,195448,38388,118434,306990,39631,46552,178538,309083,27696,32657,462085,203755,140932,424391,242719,118730,111787,659463,365245,167057
1650,181069,91503,186621,49451,346142,173449,40521,131530,208929,282671,25751,37937,72545,38293,213873,149150,185152,203940,491072,114216,210844,212285
1651,195782,354175,280083,149219,80678,32863,282470,533228,459658,671331,110948,34003,277771,305132,294254,178293,114688,203666,26440,465724,38782,207511
1652,41818,183585,302911,38956,181140,21753,173957,241501,67896,311008,178283,206592,95614,294252,181312,156693,40520,38257,192326,478447,179513,70959
1653,41301,110878,430995,178261,426174,93347,521204,359189,181054,170316,17703,208718,291929,5272,201102,257843,277325,213799,449276,354494,277772,94008
1654,11336,280134,179783,164229,36849,26078,105680,38777,280968,318615,120110,38327,95615,346111,298941,173462,38365,280033,418105,265123,208985,206182
1655,346114,179241,27412,104410,212863,42706,346651,130027,201804,306731,209782,128083,202471,104411,210138,442735,277335,148329,439368,293003,522673,39625
1656,242243,130738,164323,210392,466480,465746,658786,179365,354475,27157,274456,36872,31241,303179,563215,39145,26916,630950,425988,299358,46335,38262
1657,34003,41005,294254,157375,178293,114688,26440,465724,203666,207511,656562,38341,473859,36522,466480,210392,658786,465746,354475,274456,179365,27157
1658,32657,462085,203755,140932,244904,242719,118730,613260,111787,365245,167057,195782,354175,280083,149219,80678,282470,459658,533228,240478,110948,32863
1659,181069,91503,186621,67958,346142,173449,40521,131530,627547,25751,208929,11336,280134,179783,164229,36849,26078,280968,105680,38777,15938,318615
1660,38327,418105,346111,30918,173462,201811,208985,38365,265123,166302,206182,41301,110878,430995,178261,426174,93347,181054,521204,179059,277444,17703
1661,128083,522673,439368,202471,39625,293003,104411,210138,277335,442735,148329,38391,424128,195448,178758,118434,39631,306990,46552,178538,309083,27696
1662,37937,72545,25791,38293,149150,185152,203940,210844,38290,277821,212285,346114,179241,538333,306731,201804,104410,209782,130027,166664,42706,346651
1663,206592,478447,38257,156693,181312,179513,294252,95614,40520,192326,70959,36872,31241,289883,563215,303179,26916,46335,630950,39145,299358,431589
1664,208718,291929,201102,257843,213799,5272,561604,277325,362187,277772,354494,41818,38956,249237,302911,181140,67896,21753,178283,173957,241501,311008
1665,37900,289883,563215,46232,303179,26771,298665,26613,38262,26916,299358,91929,465750,533228,149219,166675,32863,38969,659493,26590,173730,25957
1666,206592,478112,156693,157375,181312,192326,38257,294252,478447,70959,209855,30934,114216,25791,213873,149150,277821,38290,181066,491072,523363,526230
1667,346114,306731,27412,95904,179241,130027,38323,212598,68120,346651,42706,11336,280134,303202,179783,419238,280968,105680,26078,38777,318615,15938
1668,242243,641042,210392,164323,466480,658786,512726,215415,613260,466589,365245,107806,95615,30918,298941,173462,201811,131531,38365,265123,166302,206182
1669,41818,140932,38956,183585,173957,181140,77813,186184,157490,300977,311008,487334,359378,210138,364826,202471,118879,364290,293003,611714,442735,213487
1670,38391,198453,424129,38388,150968,39631,38253,465960,179402,282012,46552,181069,91503,71898,49451,346142,40521,173449,67958,25751,282671,208929
1671,41301,110878,280083,33605,46458,93347,179059,521204,240478,181054,578032,104384,543969,209922,305132,178293,201915,109061,26440,465730,203666,581798
1672,159883,34183,171338,33620,244904,118730,482397,242719,512033,303334,202562,208718,291929,5272,201102,257843,561604,213799,32760,94008,466203,277772
1673,38391,198453,195448,38388,118434,306990,465960,282012,178538,309083,27696,206592,478447,38257,156693,181312,95614,294252,179513,192326,40520,70959
1674,195782,465750,280083,149219,261654,282470,459658,533228,240478,437329,671331,38327,208985,346111,30918,173462,418105,201811,131531,166618,166302,206182
1675,41818,181140,249237,38956,302911,178283,173957,67896,241501,311008,21753,32657,119117,140932,203755,244904,13191,242719,111787,613260,167057,535938
1676,36872,31241,26916,563215,303179,38262,26613,630950,39145,46335,299358,128083,202471,522673,439368,39625,104411,210138,364290,183364,148329,442735
1677,41301,93347,430995,178261,426174,266105,521204,181054,179059,277444,17703,181069,91503,186621,67958,49451,173449,40521,38383,208929,25751,467486
1678,11336,38777,164229,179783,36849,105680,26078,181569,280968,318615,120110,34003,277771,294254,157375,178293,26440,203666,114688,315459,38782,207511
1679,148325,179241,306731,27412,201804,104410,209782,130027,166664,42706,346651,208718,276261,5272,201102,257843,561604,277325,213799,362187,354494,277772
1680,242243,466480,210392,36522,473859,179365,465746,289248,354475,274456,27157,37937,72545,25791,38293,149150,38290,185152,203940,210844,277821,212285
1681,104384,41005,445873,26440,178293,203666,109061,114688,113868,581798,465728,206592,156693,478112,157375,181312,478447,38257,192326,166670,209855,280046
1682,487334,359378,210138,202471,118879,293003,364826,213487,364290,442735,561620,159883,244904,171338,34183,33620,118730,482397,202562,242719,659463,167057
1683,30934,25791,114216,213873,149150,181066,38290,173922,491072,523363,277821,41818,157490,396929,38956,181140,173957,140932,67896,311008,186184,240044
1684,208718,291929,5272,201102,257843,561604,213799,32760,94008,466203,277772,37900,489501,563215,46232,303179,26771,26916,26613,38262,299358,46335
1685,91929,465750,149219,166675,280083,659493,38969,37112,32863,354494,25957,346114,95904,306731,27412,179241,42706,38323,130027,68120,212598,346651
1686,107806,95615,30918,298941,173462,418105,131531,38365,265123,166302,206182,38391,198453,195448,38253,38388,309083,39631,282012,465960,179402,306117
1687,181069,91503,71898,67958,346142,173449,40521,208929,282671,25751,467486,242243,641042,210392,364779,466480,215415,658786,613260,207603,365245,512726
